deviceId,x,y,z,recordTime
1,18,38,979,2024-08-16T07:59:01.276Z
1,19,38,981,2024-08-16T07:59:01.286Z
1,18,39,979,2024-08-16T07:59:01.296Z
1,16,39,980,2024-08-16T07:59:01.306Z
1,17,39,979,2024-08-16T07:59:01.316Z
1,16,39,981,2024-08-16T07:59:01.325Z
1,17,39,979,2024-08-16T07:59:01.335Z
1,17,38,980,2024-08-16T07:59:01.346Z
1,17,40,979,2024-08-16T07:59:01.356Z
1,16,39,981,2024-08-16T07:59:01.370Z
1,17,39,979,2024-08-16T07:59:01.380Z
1,18,40,979,2024-08-16T07:59:01.389Z
1,18,40,977,2024-08-16T07:59:01.400Z
1,17,39,979,2024-08-16T07:59:01.410Z
1,18,39,979,2024-08-16T07:59:01.420Z
1,17,38,981,2024-08-16T07:59:01.430Z
1,17,38,979,2024-08-16T07:59:01.440Z
1,16,38,982,2024-08-16T07:59:01.450Z
1,18,41,979,2024-08-16T07:59:01.460Z
1,17,40,980,2024-08-16T07:59:01.497Z
1,17,40,981,2024-08-16T07:59:01.511Z
1,16,37,980,2024-08-16T07:59:01.520Z
1,17,38,980,2024-08-16T07:59:01.530Z
1,17,38,980,2024-08-16T07:59:01.540Z
1,18,39,978,2024-08-16T07:59:01.550Z
1,17,38,979,2024-08-16T07:59:01.560Z
1,19,38,978,2024-08-16T07:59:01.570Z
1,16,38,979,2024-08-16T07:59:01.580Z
1,18,40,978,2024-08-16T07:59:01.590Z
1,17,39,980,2024-08-16T07:59:01.600Z
1,16,40,980,2024-08-16T07:59:01.610Z
1,17,41,979,2024-08-16T07:59:01.620Z
1,18,40,978,2024-08-16T07:59:01.629Z
1,16,39,980,2024-08-16T07:59:01.640Z
1,17,38,979,2024-08-16T07:59:01.654Z
1,17,37,982,2024-08-16T07:59:01.663Z
1,17,40,980,2024-08-16T07:59:01.673Z
1,18,41,981,2024-08-16T07:59:01.683Z
1,18,39,980,2024-08-16T07:59:01.693Z
1,16,39,980,2024-08-16T07:59:01.703Z
